ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10481	11/06/2018	2018 General Election	State Totals	Voted Vote-by-Mail	911,692	845,765	12,234	394,227	2,163,918	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Alachua	Voted Vote-by-Mail	6,545	12,455	174	3,424	22,598	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Baker	Voted Vote-by-Mail	751	432	3	73	1,259	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Bay	Voted Vote-by-Mail	4,975	2,448	45	948	8,416	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Bradford	Voted Vote-by-Mail	1,295	882	11	193	2,381	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Brevard	Voted Vote-by-Mail	37,507	28,218	554	13,123	79,402	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Broward	Voted Vote-by-Mail	34,323	79,016	716	25,911	139,966	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Calhoun	Voted Vote-by-Mail	225	333	3	26	587	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Charlotte	Voted Vote-by-Mail	15,152	10,091	196	5,725	31,164	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Citrus	Voted Vote-by-Mail	11,889	6,885	141	3,925	22,840	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Clay	Voted Vote-by-Mail	9,938	3,922	100	2,756	16,716	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Collier	Voted Vote-by-Mail	31,090	12,094	220	9,570	52,974	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Columbia	Voted Vote-by-Mail	2,444	1,763	29	538	4,774	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	DeSoto	Voted Vote-by-Mail	741	764	11	270	1,786	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Dixie	Voted Vote-by-Mail	686	528	9	137	1,360	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Duval	Voted Vote-by-Mail	24,633	21,302	345	6,942	53,222	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Escambia	Voted Vote-by-Mail	15,203	9,834	184	3,678	28,899	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Flagler	Voted Vote-by-Mail	5,581	4,431	59	2,292	12,363	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Franklin	Voted Vote-by-Mail	483	583	17	106	1,189	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Gadsden	Voted Vote-by-Mail	493	2,012	3	129	2,637	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Gilchrist	Voted Vote-by-Mail	834	443	6	120	1,403	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Glades	Voted Vote-by-Mail	423	267	4	75	769	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Gulf	Voted Vote-by-Mail	483	336	4	51	874	11/02/2018  7:22AM
10481	11/06/2018	2018 General Election	Hamilton	Voted Vote-by-Mail	372	460	6	60	898	11/02/2018  7:22AM
