ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10481	11/06/2018	2018 General Election	State Totals	Voted Vote-by-Mail	1,035,175	971,679	14,569	466,227	2,487,650	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Alachua	Voted Vote-by-Mail	7,964	15,095	215	4,334	27,608	11/05/2018  7:24AM
10481	11/06/2018	2018 General Election	Baker	Voted Vote-by-Mail	931	604	4	86	1,625	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Bay	Voted Vote-by-Mail	6,439	3,250	66	1,253	11,008	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Bradford	Voted Vote-by-Mail	1,483	1,030	15	229	2,757	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Brevard	Voted Vote-by-Mail	41,150	30,713	623	14,651	87,137	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Broward	Voted Vote-by-Mail	42,566	96,878	903	33,657	174,004	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Calhoun	Voted Vote-by-Mail	283	442	4	37	766	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Charlotte	Voted Vote-by-Mail	16,465	10,766	218	6,323	33,772	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Citrus	Voted Vote-by-Mail	13,136	7,587	167	4,434	25,324	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Clay	Voted Vote-by-Mail	11,472	4,592	114	3,259	19,437	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Collier	Voted Vote-by-Mail	33,759	13,175	258	10,681	57,873	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Columbia	Voted Vote-by-Mail	2,797	2,019	35	641	5,492	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	DeSoto	Voted Vote-by-Mail	857	890	11	311	2,069	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Dixie	Voted Vote-by-Mail	801	625	9	160	1,595	11/06/2018  7:31AM
10481	11/06/2018	2018 General Election	Duval	Voted Vote-by-Mail	27,759	24,104	414	8,242	60,519	11/06/2018  7:31AM
