ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10481	11/06/2018	2018 General Election	State Totals	Voted Vote-by-Mail	711,988	646,843	9,060	291,359	1,659,250	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Alachua	Voted Vote-by-Mail	3,373	6,685	96	1,672	11,826	10/26/2018  7:17AM
10481	11/06/2018	2018 General Election	Baker	Voted Vote-by-Mail	583	351	3	64	1,001	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Bay	Voted Vote-by-Mail	2,720	1,273	24	525	4,542	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Bradford	Voted Vote-by-Mail	993	669	8	144	1,814	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Brevard	Voted Vote-by-Mail	29,809	22,600	420	10,134	62,963	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Broward	Voted Vote-by-Mail	25,475	55,379	514	17,062	98,430	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Calhoun	Voted Vote-by-Mail	148	197	2	15	362	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Charlotte	Voted Vote-by-Mail	12,650	8,617	161	4,676	26,104	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Citrus	Voted Vote-by-Mail	9,540	5,622	110	3,133	18,405	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Clay	Voted Vote-by-Mail	7,220	2,869	71	1,971	12,131	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Collier	Voted Vote-by-Mail	25,419	9,672	168	7,454	42,713	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Columbia	Voted Vote-by-Mail	1,741	1,249	22	378	3,390	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	DeSoto	Voted Vote-by-Mail	537	520	8	192	1,257	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Dixie	Voted Vote-by-Mail	522	416	7	112	1,057	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Duval	Voted Vote-by-Mail	19,544	16,817	263	5,103	41,727	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Escambia	Voted Vote-by-Mail	12,229	7,753	150	2,850	22,982	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Flagler	Voted Vote-by-Mail	4,689	3,778	44	1,851	10,362	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Franklin	Voted Vote-by-Mail	321	379	11	74	785	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Gadsden	Voted Vote-by-Mail	336	1,368	3	80	1,787	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Gilchrist	Voted Vote-by-Mail	587	304	4	79	974	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Glades	Voted Vote-by-Mail	334	206	4	60	604	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Gulf	Voted Vote-by-Mail	259	162	1	28	450	10/26/2018  7:17AM
10481	11/06/2018	2018 General Election	Hamilton	Voted Vote-by-Mail	295	317	4	48	664	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Hardee	Voted Vote-by-Mail	130	66	0	30	226	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Hendry	Voted Vote-by-Mail	547	463	5	94	1,109	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Hernando	Voted Vote-by-Mail	11,856	9,007	154	4,021	25,038	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Highlands	Voted Vote-by-Mail	4,495	2,870	25	1,267	8,657	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Hillsborough	Voted Vote-by-Mail	47,574	52,046	755	21,604	121,979	10/28/2018  7:23AM
10481	11/06/2018	2018 General Election	Holmes	Voted Vote-by-Mail	504	276	1	43	824	10/28/2018  7:23AM
