;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;CAMPANIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;VENETO;TIMESTAMP;LIGURIA;ABRUZZO;TRENTINO-ALTO ADIGE;PIEMONTE;ITALIA;PUGLIA;LOMBARDIA
12.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120051;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.031;17.82;0.0;0.0;0.0;17.63;0.0;0.0;0.0;13.96;0.0;0.0;0.0;0.0;0.0;180304_120151;22.53;19.14;24.02;19.53;18.88;0.0;19.82
12.047;20.7;0.0;0.0;0.0;16.87;13.61;17.46;0.0;13.84;15.58;0.0;0.0;0.0;17.99;180304_120251;20.39;19.43;21.45;19.98;15.85;0.0;21.73
12.064;20.7;21.83;0.0;0.0;14.25;17.29;17.46;0.0;13.6;15.52;0.0;23.95;0.0;19.51;180304_120351;20.69;19.36;20.83;20.16;15.93;9.39;21.68
12.09;20.53;23.49;0.0;15.66;14.9;17.51;17.46;11.55;13.54;15.44;0.0;20.68;20.28;21.45;180304_120524;21.13;18.94;20.36;19.5;17.43;12.41;21.99
12.107;21.1;22.34;0.0;16.56;15.97;16.93;17.46;14.96;13.47;15.72;0.0;18.9;21.02;22.07;180304_120624;21.14;19.1;20.28;20.02;17.97;14.53;22.25
12.123;21.06;22.7;0.0;16.84;16.16;16.92;17.46;13.36;13.46;15.68;0.0;19.0;21.02;21.6;180304_120724;21.18;19.2;20.44;20.14;18.08;14.51;22.26
12.14;21.76;22.79;0.0;16.42;16.6;17.21;17.46;13.01;13.51;15.59;0.0;19.34;20.26;21.73;180304_120824;21.2;19.14;20.35;20.28;18.32;15.1;22.14
12.157;21.96;22.87;0.0;15.87;16.47;17.14;19.15;13.41;13.49;15.57;0.0;19.29;20.16;21.66;180304_120924;21.13;19.26;20.45;20.42;18.26;15.34;21.37
12.173;22.18;22.61;19.75;16.13;16.3;17.43;19.09;13.59;13.53;15.15;0.0;19.33;20.02;21.73;180304_121024;21.5;18.88;20.01;20.58;18.33;15.5;21.54
12.19;22.34;22.49;17.42;16.32;16.45;17.46;18.75;13.16;13.53;15.37;0.0;19.35;19.98;21.97;180304_121124;21.32;18.88;20.1;20.76;18.54;16.64;21.43
12.207;22.84;22.39;19.16;16.74;16.56;17.57;18.94;13.13;13.45;15.55;0.0;20.0;20.46;22.07;180304_121224;21.56;18.96;20.09;20.84;18.68;16.23;21.44
12.224;22.76;22.36;18.89;16.84;16.46;17.54;19.14;12.97;13.54;15.55;0.0;20.03;20.58;22.12;180304_121325;21.82;18.86;20.15;21.0;18.73;16.32;21.57
12.24;22.64;22.41;18.52;16.85;16.31;17.48;19.21;12.93;13.6;15.66;0.0;19.71;20.83;22.21;180304_121425;21.9;18.92;20.27;21.1;18.74;16.4;21.63
12.257;22.47;22.46;18.08;16.9;16.23;17.54;19.21;12.88;13.61;15.66;0.0;19.71;20.89;22.14;180304_121525;21.88;18.9;20.84;21.1;18.84;16.53;21.64
12.274;22.44;22.52;18.34;17.29;16.34;17.66;19.31;13.41;13.54;16.42;0.0;19.71;20.8;22.18;180304_121625;21.41;18.84;20.76;21.18;18.87;16.44;21.62
12.29;22.57;22.53;18.92;17.38;16.4;17.6;19.69;13.6;13.56;16.41;0.0;19.76;20.45;22.11;180304_121725;21.45;18.79;20.78;21.27;18.84;16.96;21.61
12.307;22.57;22.53;18.92;17.38;16.4;17.6;19.69;13.6;13.56;16.41;0.0;19.76;20.45;22.11;180304_121825;21.45;18.79;20.78;21.27;18.84;16.96;21.61
12.324;22.36;22.43;18.49;17.44;16.52;17.67;19.83;13.52;13.66;16.41;0.0;19.79;20.49;22.17;180304_121925;21.33;18.87;20.77;21.28;18.91;17.3;21.77
12.341;22.85;22.47;17.92;17.17;16.63;17.67;19.67;13.51;13.69;16.4;0.0;19.54;20.52;22.17;180304_122026;21.46;18.99;20.73;21.39;18.99;17.28;21.59
12.357;22.85;22.47;17.92;17.17;16.63;17.67;19.67;13.51;13.69;16.4;0.0;19.54;20.52;22.17;180304_122126;21.46;18.99;20.73;21.39;18.99;17.28;21.59
12.374;22.78;22.62;17.8;16.76;16.89;17.75;19.66;13.5;14.22;16.42;0.0;19.52;20.69;22.21;180304_122226;21.48;19.08;20.87;19.51;18.96;17.32;21.56
12.391;22.76;22.62;17.84;16.76;16.87;17.78;19.73;13.68;14.23;16.41;0.0;19.56;20.88;22.24;180304_122326;21.46;19.1;20.86;19.61;19.07;17.34;21.64
12.407;22.51;22.6;17.85;16.73;16.75;17.84;19.84;13.7;14.27;16.46;0.0;19.56;20.95;22.21;180304_122426;21.48;19.2;20.86;19.66;19.07;17.33;21.66
12.424;22.49;22.54;17.79;16.83;16.68;17.86;19.9;13.72;14.32;16.46;0.0;19.56;20.94;22.25;180304_122526;21.56;19.27;20.84;19.7;19.12;17.33;21.62
12.441;22.52;22.58;17.78;17.18;16.64;17.88;19.93;13.73;14.36;16.45;0.0;19.51;20.93;22.23;180304_122626;21.53;19.25;20.83;19.73;19.15;17.35;21.6
12.457;22.52;22.6;17.64;17.07;16.66;17.78;19.97;13.78;14.48;16.45;0.0;19.67;20.85;22.22;180304_122726;21.65;19.14;20.76;19.83;19.23;17.33;21.71
12.474;22.61;22.58;17.54;16.05;16.65;17.78;19.83;13.95;14.57;16.45;0.0;19.69;20.88;22.24;180304_122826;21.67;19.11;20.73;19.88;19.25;17.38;21.72
12.491;22.59;22.58;17.88;16.08;16.64;17.78;19.87;13.98;14.58;16.46;0.0;19.67;20.86;22.24;180304_122927;21.64;19.13;20.69;19.89;19.24;17.4;21.74
12.508;22.61;22.43;18.07;16.11;16.66;18.01;19.93;13.98;14.6;16.37;0.0;19.73;20.89;22.26;180304_123027;21.63;19.18;20.56;19.95;19.31;17.5;21.75
12.524;22.63;22.44;18.07;16.11;16.74;17.99;19.98;13.97;14.63;16.37;0.0;19.73;20.91;22.26;180304_123127;21.63;19.17;20.55;19.95;19.31;17.5;21.76
12.541;22.59;22.48;18.06;16.16;16.77;18.08;20.56;13.96;14.64;16.37;0.0;19.81;20.85;22.23;180304_123227;21.62;19.18;20.61;19.97;19.32;17.34;21.77
12.558;22.54;22.48;18.04;16.19;16.71;18.1;20.56;13.92;14.65;16.37;0.0;19.82;20.87;22.26;180304_123327;21.66;19.18;20.56;19.97;19.35;17.62;21.73
12.574;22.54;22.46;17.88;16.3;16.7;18.06;20.53;13.89;14.7;16.38;0.0;19.82;20.83;22.26;180304_123427;21.62;19.17;20.52;20.0;19.33;17.59;21.79
12.591;22.6;22.51;17.96;16.51;16.74;18.06;20.53;13.94;14.7;16.38;0.0;19.81;20.83;22.27;180304_123527;21.61;19.19;20.51;20.03;19.33;17.48;21.81
12.607;22.61;22.5;17.92;16.62;16.75;18.06;20.53;13.94;14.73;16.33;0.0;19.81;20.79;22.26;180304_123627;21.61;19.19;20.51;20.06;19.34;17.48;21.71
12.624;22.67;22.51;17.86;16.61;16.53;18.1;20.56;13.95;14.77;16.33;0.0;19.81;20.79;22.28;180304_123728;21.61;19.2;20.51;20.07;19.28;17.48;21.77
12.641;22.77;22.51;17.88;16.62;16.56;18.09;20.52;13.89;14.89;16.34;0.0;19.81;20.8;22.27;180304_123828;21.5;19.21;20.51;20.13;19.32;18.01;21.75
12.658;22.73;22.51;17.88;16.63;16.6;18.08;20.52;13.91;14.88;16.28;21.37;19.81;20.8;22.29;180304_123928;21.5;19.21;20.53;20.14;19.32;18.01;21.71
12.674;22.72;22.51;17.88;16.66;16.62;18.13;20.52;14.0;14.89;16.27;21.24;19.81;20.82;22.3;180304_124028;21.5;19.26;20.51;20.07;19.27;17.99;21.64
12.691;22.68;22.51;17.87;16.68;16.66;18.13;20.52;13.98;14.89;16.27;21.24;19.81;20.82;22.28;180304_124128;21.45;19.25;20.51;20.11;19.28;17.96;21.57
12.708;22.68;22.51;17.93;16.69;16.67;18.16;20.52;13.98;14.9;16.27;21.24;19.81;20.82;22.28;180304_124228;21.45;19.26;20.51;20.12;19.28;17.96;21.57
12.725;22.68;22.52;17.93;16.7;16.67;18.16;20.57;13.99;15.0;16.27;21.24;19.81;20.82;22.27;180304_124329;21.47;19.33;20.51;20.18;19.29;17.95;21.56
12.741;22.68;22.52;17.95;16.6;16.67;18.17;20.55;13.88;15.03;16.27;21.24;19.81;20.82;22.27;180304_124429;21.5;19.35;20.51;20.22;19.26;17.9;21.55
12.758;22.71;22.52;18.26;16.83;16.68;18.15;20.55;13.88;15.04;16.27;21.24;19.81;20.83;22.26;180304_124529;21.5;19.35;20.51;20.25;19.26;17.9;21.56
12.775;22.71;22.52;18.26;16.87;16.72;18.14;20.55;13.9;15.04;16.27;21.24;19.81;20.82;22.26;180304_124629;21.51;19.35;20.51;20.28;19.26;17.92;21.54
