;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;CAMPANIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;VENETO;TIMESTAMP;LIGURIA;ABRUZZO;TRENTINO-ALTO ADIGE;PIEMONTE;ITALIA;PUGLIA;LOMBARDIA
12.558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123327;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123427;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.591;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123527;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123627;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123728;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.641;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123828;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123928;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124028;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124128;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124228;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124329;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124429;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124529;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124629;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.791;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124729;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124829;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124929;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125029;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125140;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125241;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125341;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.911;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125441;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125541;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125641;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125741;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125842;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125942;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130042;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130142;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130242;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130342;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130442;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130543;0.0;0.0;0.0;0.0;0.0;0.0;0.0
