;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;CAMPANIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;VENETO;TIMESTAMP;LIGURIA;ABRUZZO;TRENTINO-ALTO ADIGE;PIEMONTE;ITALIA;PUGLIA;LOMBARDIA
12.558;87.92;86.98;61.76;60.58;66.73;93.9;91.3;77.95;83.46;96.18;0.0;92.58;90.15;89.9;180304_123327;90.6;79.67;94.18;61.65;75.45;78.29;65.63
12.574;89.43;88.37;63.97;62.17;68.73;94.16;92.39;79.49;84.94;96.18;0.0;94.76;91.24;90.42;180304_123427;91.03;80.33;95.55;62.57;76.65;80.62;66.89
12.591;90.63;89.77;66.91;65.34;70.18;94.69;92.39;81.28;86.42;96.18;0.0;96.07;91.24;91.29;180304_123527;91.45;81.64;96.23;63.74;77.87;82.56;68.01
12.607;91.24;91.16;69.12;67.2;71.09;95.23;93.48;82.05;86.91;97.71;0.0;96.07;92.7;92.33;180304_123627;91.45;81.64;96.23;64.91;78.85;82.95;69.53
12.624;92.15;92.09;70.59;67.99;73.27;95.49;95.65;82.82;87.9;97.71;0.0;96.07;92.7;93.21;180304_123728;91.45;81.97;96.23;65.75;79.73;82.95;70.98
12.641;93.05;93.02;71.32;68.78;75.27;96.02;97.83;84.36;88.15;98.47;0.0;96.07;93.07;93.55;180304_123828;91.88;82.3;96.58;66.5;80.64;84.5;72.36
12.658;93.66;93.95;71.32;69.05;77.82;96.29;97.83;85.64;89.14;99.24;21.62;96.07;93.07;94.08;180304_123928;92.31;82.62;96.92;68.34;82.01;85.66;74.47
12.674;93.96;95.81;71.32;70.9;81.64;96.82;98.91;88.46;89.88;100.0;100.0;96.07;93.8;94.77;180304_124028;94.02;84.26;97.6;70.93;84.58;89.15;77.04
12.691;94.86;96.28;73.53;71.96;84.18;96.82;98.91;90.26;90.37;100.0;100.0;96.07;93.8;95.3;180304_124128;94.44;85.25;97.6;72.43;85.56;90.31;78.1
12.708;95.17;96.28;75.0;72.49;86.0;97.08;98.91;91.03;91.11;100.0;100.0;96.94;93.8;95.47;180304_124228;94.87;86.23;97.6;73.68;86.29;90.31;79.02
12.725;95.17;97.67;75.0;73.02;87.82;97.08;98.91;91.79;93.09;100.0;100.0;97.38;93.8;95.82;180304_124329;95.73;88.2;97.95;76.36;87.51;91.09;80.67
12.741;95.17;97.67;76.47;73.54;89.09;97.61;100.0;93.08;94.57;100.0;100.0;97.82;94.16;96.86;180304_124429;96.58;88.85;97.95;78.36;88.67;92.64;82.45
12.758;95.77;97.67;77.94;75.93;92.0;98.14;100.0;93.85;95.31;100.0;100.0;98.25;94.89;97.04;180304_124529;96.58;89.18;97.95;79.87;89.72;93.8;83.84
12.775;96.68;97.67;77.94;77.78;92.91;98.94;100.0;95.13;95.56;100.0;100.0;98.25;95.26;97.21;180304_124629;97.01;89.51;97.95;81.54;90.73;94.57;85.82
12.791;97.58;97.67;79.41;79.1;93.27;98.94;100.0;96.41;95.8;100.0;100.0;98.69;95.26;97.21;180304_124729;97.44;89.84;97.95;82.62;91.37;94.96;86.87
12.808;97.89;97.67;80.15;80.69;93.64;98.94;100.0;96.92;96.05;100.0;100.0;98.69;95.62;97.21;180304_124829;97.44;90.16;97.95;83.29;91.79;95.35;87.53
12.825;97.89;98.14;82.35;84.13;94.18;99.2;100.0;98.21;97.04;100.0;100.0;99.13;97.45;97.91;180304_124929;98.29;91.15;98.29;84.54;92.89;96.12;89.12
12.841;97.89;98.6;83.09;84.13;94.91;99.2;100.0;98.46;97.04;100.0;100.0;99.13;97.81;97.91;180304_125029;98.29;91.8;98.29;84.88;93.09;96.12;89.25
12.861;97.89;98.6;85.29;85.45;96.0;99.47;100.0;98.46;97.04;100.0;100.0;99.13;98.54;98.43;180304_125140;98.72;93.44;98.29;86.22;93.75;96.51;89.91
12.878;97.89;99.07;85.29;86.24;96.18;99.47;100.0;98.46;97.28;100.0;100.0;99.13;98.54;98.43;180304_125241;98.72;93.77;98.29;86.8;94.01;96.51;90.3
12.895;97.89;99.53;85.29;88.89;96.36;99.47;100.0;98.46;97.78;100.0;100.0;99.13;98.91;98.61;180304_125341;98.72;95.41;98.97;87.89;94.75;98.06;91.56
12.911;97.89;99.53;85.29;89.42;96.36;99.47;100.0;98.72;98.27;100.0;100.0;99.13;98.91;98.61;180304_125441;99.15;95.41;98.97;88.39;95.04;98.45;92.22
12.928;97.89;99.53;88.24;90.74;96.55;99.73;100.0;99.23;98.27;100.0;100.0;99.56;98.91;98.61;180304_125541;99.15;95.74;98.97;89.39;95.49;98.84;92.74
12.945;98.19;99.53;88.97;90.74;96.55;99.73;100.0;99.23;98.52;100.0;100.0;99.56;98.91;98.61;180304_125641;99.15;96.07;98.97;89.39;95.58;98.84;92.94
12.961;98.19;99.53;90.44;91.53;96.55;99.73;100.0;99.74;98.52;100.0;100.0;99.56;98.91;98.95;180304_125741;99.15;97.38;98.97;89.47;95.88;99.22;93.54
12.978;98.49;99.53;90.44;93.12;96.73;99.73;100.0;99.74;98.52;100.0;100.0;99.56;99.64;99.13;180304_125842;99.15;97.38;98.97;89.47;96.1;99.22;94.0
12.995;99.09;99.53;91.18;93.65;96.91;99.73;100.0;99.74;98.77;100.0;100.0;99.56;99.64;99.3;180304_125942;99.15;97.38;99.32;89.56;96.28;99.61;94.2
13.012;99.09;99.53;92.65;93.92;97.27;99.73;100.0;99.74;99.26;100.0;100.0;100.0;99.64;99.48;180304_130042;99.15;97.38;99.66;89.72;96.52;100.0;94.59
13.028;99.09;99.53;94.12;93.92;97.45;99.73;100.0;100.0;99.26;100.0;100.0;100.0;100.0;99.48;180304_130142;99.15;97.38;99.66;89.72;96.64;100.0;94.92
13.045;99.09;99.53;94.12;93.92;97.45;99.73;100.0;100.0;99.26;100.0;100.0;100.0;100.0;99.48;180304_130242;99.15;97.38;99.66;89.81;96.68;100.0;95.05
13.062;99.4;99.53;94.12;95.5;97.82;100.0;100.0;100.0;99.51;100.0;100.0;100.0;100.0;99.48;180304_130342;99.15;97.38;99.66;89.81;96.91;100.0;95.51
13.078;99.4;100.0;94.85;95.5;98.0;100.0;100.0;100.0;99.51;100.0;100.0;100.0;100.0;99.48;180304_130442;99.15;97.38;99.66;89.81;96.97;100.0;95.65
13.095;99.4;100.0;95.59;96.03;98.73;100.0;100.0;100.0;99.75;100.0;100.0;100.0;100.0;99.48;180304_130543;99.15;97.38;99.66;89.81;97.12;100.0;95.91
13.112;99.4;100.0;96.32;96.03;98.73;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.48;180304_130643;99.57;97.7;100.0;89.81;97.2;100.0;95.98
13.129;99.4;100.0;98.53;97.09;98.73;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.65;180304_130743;99.57;97.7;100.0;89.97;97.39;100.0;96.31
13.145;99.7;100.0;99.26;97.35;98.91;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.65;180304_130843;99.57;97.7;100.0;89.97;97.47;100.0;96.5
13.162;99.7;100.0;99.26;97.35;98.91;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.65;180304_130943;99.57;97.7;100.0;89.97;97.47;100.0;96.5
13.179;99.7;100.0;99.26;97.88;98.91;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.65;180304_131043;99.57;98.03;100.0;90.06;97.59;100.0;96.83
13.195;99.7;100.0;99.26;97.88;98.91;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.83;180304_131143;99.57;98.36;100.0;90.06;97.65;100.0;97.03
13.212;99.7;100.0;99.26;98.15;98.91;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.83;180304_131243;99.57;99.02;100.0;91.56;97.94;100.0;97.16
13.336;99.7;100.0;99.26;98.94;99.45;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_132009;100.0;99.02;100.0;91.65;98.27;100.0;98.28
13.352;99.7;100.0;99.26;98.94;99.82;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_132109;100.0;99.02;100.0;91.65;98.3;100.0;98.35
13.369;99.7;100.0;99.26;98.94;99.82;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_132209;100.0;99.02;100.0;91.65;98.32;100.0;98.42
13.386;100.0;100.0;99.26;98.94;99.82;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_132309;100.0;99.02;100.0;91.65;98.34;100.0;98.48
13.402;100.0;100.0;99.26;98.94;99.82;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_132409;100.0;99.34;100.0;91.65;98.4;100.0;98.75
13.419;100.0;100.0;99.26;99.21;99.82;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_132509;100.0;99.34;100.0;91.65;98.42;100.0;98.75
13.494;100.0;100.0;99.26;99.47;99.82;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_132940;100.0;100.0;100.0;91.65;98.59;100.0;99.47
13.561;100.0;100.0;99.26;99.47;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_133340;100.0;100.0;100.0;92.23;98.74;100.0;99.74
13.628;100.0;100.0;99.26;99.47;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_133741;100.0;100.0;100.0;95.24;99.21;100.0;99.8
13.695;100.0;100.0;99.26;99.74;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_134141;100.0;100.0;100.0;96.99;99.5;100.0;99.87
13.761;100.0;100.0;100.0;99.74;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;180304_134541;100.0;100.0;100.0;97.49;99.59;100.0;99.87
19.03;0.0;0.0;0.0;0.26;0.73;0.53;1.09;0.26;2.96;0.76;0.0;0.44;0.0;0.17;180304_190148;0.0;1.64;1.03;0.58;0.57;1.16;0.2
19.056;0.6;1.4;0.74;3.97;3.64;1.59;2.17;1.03;6.91;11.45;0.0;3.93;0.0;0.7;180304_190323;1.71;4.92;2.74;5.68;2.85;3.1;0.99
19.073;2.42;3.72;1.47;8.47;8.18;5.31;4.35;2.31;11.85;22.14;0.0;10.92;1.82;3.66;180304_190423;6.84;11.8;5.14;9.94;6.36;5.43;3.3
19.09;2.42;3.72;1.47;8.47;8.18;5.31;4.35;2.31;11.85;22.14;0.0;10.92;1.82;3.66;180304_190523;6.84;11.8;5.14;9.94;6.36;5.43;3.3
19.106;3.93;9.77;8.09;12.17;12.91;11.14;7.61;4.62;15.8;27.48;0.0;17.47;3.65;5.57;180304_190623;14.53;17.05;9.93;15.12;10.32;9.3;5.94
19.123;7.55;16.28;11.03;15.61;17.45;18.3;13.04;7.69;21.48;40.46;0.0;22.27;6.57;7.32;180304_190723;29.06;23.93;13.7;19.88;14.83;12.02;9.1
19.14;13.9;22.33;14.71;16.14;22.0;22.28;13.04;9.74;24.69;47.33;0.0;26.2;10.58;10.63;180304_190823;31.2;26.89;15.75;22.39;17.79;14.73;11.02
19.159;15.71;26.98;16.18;17.99;24.91;28.12;15.22;11.54;28.4;53.44;0.0;27.07;15.33;11.85;180304_190934;32.91;30.16;18.49;25.73;20.42;16.67;12.66
19.178;18.43;34.42;19.12;20.63;29.82;35.81;15.22;15.13;33.58;62.6;0.0;31.0;21.9;17.6;180304_191039;36.75;35.41;22.95;29.74;24.99;24.03;16.42
19.194;20.24;44.19;20.59;24.07;34.0;42.97;19.57;19.49;39.51;69.47;0.0;37.12;25.91;22.65;180304_191140;40.17;39.34;27.74;34.09;29.38;27.91;19.92
19.215;26.28;49.3;24.26;26.19;38.0;49.34;27.17;24.36;44.94;74.81;0.0;40.17;27.37;26.66;180304_191255;44.87;42.3;32.19;37.68;33.15;31.01;22.36
19.232;29.91;51.16;26.47;29.37;41.45;55.97;30.43;27.95;49.88;76.34;0.0;41.92;30.66;30.14;180304_191355;62.82;45.57;34.93;40.27;36.77;35.27;24.93
19.249;35.05;56.28;27.94;30.95;44.0;60.48;33.7;30.51;52.84;77.86;0.0;44.1;33.94;31.88;180304_191455;65.38;46.89;38.01;42.02;39.19;38.76;26.65
19.266;41.09;62.33;31.62;35.45;49.09;71.88;36.96;36.92;58.77;83.97;0.0;46.29;41.61;39.2;180304_191556;71.37;49.51;44.86;45.45;44.35;45.35;30.34
19.282;45.92;71.63;36.03;39.42;53.45;79.05;45.65;42.31;63.21;88.55;0.0;47.6;46.35;44.25;180304_191656;75.64;52.79;52.4;48.62;48.82;50.39;34.1
19.299;45.92;71.63;36.03;39.42;53.45;79.05;45.65;42.31;63.21;88.55;0.0;47.6;46.35;44.25;180304_191756;75.64;52.79;52.4;48.62;48.82;50.39;34.1
19.316;51.96;75.81;40.44;43.65;57.45;82.76;56.52;47.95;68.64;91.6;0.0;51.53;51.09;51.05;180304_191856;77.35;56.39;56.51;52.8;53.42;57.75;38.32
19.332;54.98;77.67;41.91;44.44;59.64;83.82;61.96;51.54;71.36;93.13;0.0;54.59;55.47;53.83;180304_191956;78.21;56.72;59.25;55.05;55.67;60.47;40.44
19.349;60.73;82.33;47.79;48.15;64.91;86.47;69.57;57.69;77.53;93.89;0.0;58.52;60.58;60.1;180304_192056;82.48;58.36;65.75;61.15;60.71;68.22;44.92
19.366;66.77;84.65;50.74;50.53;67.27;87.8;73.91;60.51;81.73;97.71;0.0;63.76;65.69;62.37;180304_192156;84.19;59.67;71.58;64.33;63.77;72.09;47.49
19.383;66.77;84.65;50.74;50.53;67.27;87.8;73.91;60.51;81.73;97.71;0.0;63.76;65.69;62.37;180304_192257;84.19;59.67;71.58;64.33;63.77;72.09;47.49
19.399;71.9;88.84;59.56;54.23;71.27;90.98;76.09;67.69;84.44;97.71;0.0;70.74;76.28;67.94;180304_192357;88.03;64.26;78.77;70.26;69.16;79.84;53.43
19.416;74.62;89.3;61.03;56.61;72.55;91.51;79.35;70.26;85.93;97.71;0.0;72.49;79.93;69.51;180304_192457;89.32;66.23;79.45;72.93;71.0;80.62;55.34
19.433;76.74;90.7;62.5;58.99;74.36;92.04;85.87;73.33;88.15;98.47;0.0;73.36;82.12;71.6;180304_192557;91.03;68.2;81.85;77.11;73.4;83.72;57.65
19.449;78.25;91.16;65.44;60.85;76.73;92.84;89.13;77.18;89.38;98.47;0.0;75.11;83.21;74.56;180304_192657;92.74;71.48;83.56;80.87;75.68;84.88;59.96
19.466;81.87;92.09;66.91;62.7;79.27;93.9;89.13;79.74;89.88;99.24;0.0;75.55;85.4;77.0;180304_192757;94.02;72.79;85.27;82.79;77.58;86.43;62.4
19.482;84.29;93.02;68.38;64.02;81.45;94.69;90.22;82.31;91.11;100.0;0.0;78.17;87.23;81.01;180304_192857;94.44;75.08;86.3;86.3;79.89;88.76;65.17
19.499;84.89;93.49;68.38;65.61;82.18;94.69;95.65;84.1;91.6;100.0;0.0;79.04;90.51;83.28;180304_192958;95.3;77.38;86.64;87.8;81.38;90.7;67.41
19.517;84.89;95.81;68.38;68.25;82.91;94.96;96.74;86.41;92.1;100.0;100.0;79.91;92.34;84.49;180304_193103;95.73;79.67;90.41;89.81;83.8;92.64;69.06
19.534;85.5;95.81;69.12;70.9;83.82;96.02;96.74;88.21;92.35;100.0;100.0;80.79;92.7;86.24;180304_193204;95.73;81.31;92.12;91.4;85.06;93.8;70.71
19.551;85.5;95.81;69.12;70.9;83.82;96.02;96.74;88.21;92.35;100.0;100.0;80.79;92.7;86.24;180304_193304;95.73;81.31;92.12;91.4;85.06;93.8;70.71
19.568;87.01;95.81;71.32;73.28;85.09;96.55;98.91;90.26;92.59;100.0;100.0;85.15;94.89;89.37;180304_193404;96.15;83.61;95.55;92.9;86.92;95.35;73.15
19.584;88.82;96.28;72.06;75.66;85.64;97.08;100.0;91.54;93.33;100.0;100.0;86.03;95.99;90.24;180304_193504;97.01;85.9;97.26;94.32;88.28;96.12;75.4
19.601;91.54;96.74;72.06;76.46;87.09;97.08;100.0;92.31;94.32;100.0;100.0;87.77;95.99;92.16;180304_193604;98.29;88.2;97.6;95.49;89.53;96.9;77.37
19.618;91.84;96.74;72.06;76.72;87.64;97.35;100.0;92.56;95.8;100.0;100.0;87.77;96.35;92.86;180304_193705;98.29;88.85;97.6;95.99;89.98;97.29;77.97
19.635;93.66;96.74;72.06;76.72;88.0;97.88;100.0;92.82;96.54;100.0;100.0;88.21;96.72;93.55;180304_193805;98.29;90.49;97.6;96.74;90.66;97.67;79.22
19.651;93.96;96.74;72.79;76.98;88.55;97.88;100.0;94.1;97.78;100.0;100.0;89.08;97.08;94.08;180304_193905;98.29;91.48;97.6;97.16;91.44;97.67;81.33
19.668;94.26;96.74;75.0;79.1;89.09;98.14;100.0;94.62;98.02;100.0;100.0;90.39;97.45;95.12;180304_194005;98.72;92.13;97.6;97.49;92.31;98.06;83.44
19.685;94.26;98.14;76.47;80.42;89.45;98.14;100.0;95.38;98.52;100.0;100.0;93.45;97.81;95.47;180304_194106;99.15;94.1;97.6;97.83;92.93;98.06;84.17
19.702;94.26;98.14;76.47;82.01;90.0;98.14;100.0;95.64;98.52;100.0;100.0;93.89;98.18;95.99;180304_194206;99.15;95.74;97.6;98.16;93.37;98.45;84.83
19.718;95.47;98.6;76.47;84.13;90.18;98.14;100.0;96.15;98.52;100.0;100.0;94.76;99.27;96.69;180304_194306;99.15;97.05;97.6;98.83;94.01;98.45;85.75
19.735;95.47;98.6;77.94;86.51;90.55;98.67;100.0;96.67;98.77;100.0;100.0;94.76;99.27;96.86;180304_194406;99.15;97.05;97.6;98.83;94.32;98.45;86.15
19.768;95.47;99.07;80.15;90.48;90.91;98.94;100.0;96.92;99.01;100.0;100.0;96.51;100.0;97.04;180304_194606;99.15;97.38;97.95;99.0;94.96;98.45;87.2
