fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,GOP,67931,22010,868,0.2206,3934,19869,False,,LA,305799,0.511216,False,louisiana,governor
,state,G,Dem,27723,20944,868,0.2206,3934,19869,False,,LA,292381,0.488784,False,louisiana,governor
22001,county,G,GOP,67931,22010,27,0.49090000000000006,55,19869,False,,LA,8231,0.706463,False,louisiana,governor
22001,county,G,Dem,27723,20944,27,0.49090000000000006,55,19869,False,,LA,3420,0.293537,False,louisiana,governor
22003,county,G,GOP,67931,22010,7,0.2414,29,19869,False,,LA,1273,0.595138,False,louisiana,governor
22003,county,G,Dem,27723,20944,7,0.2414,29,19869,False,,LA,866,0.404862,False,louisiana,governor
22005,county,G,GOP,67931,22010,20,0.27030000000000004,74,19869,False,,LA,12633,0.538399,False,louisiana,governor
22005,county,G,Dem,27723,20944,20,0.27030000000000004,74,19869,False,,LA,10831,0.461601,False,louisiana,governor
22007,county,G,Dem,27723,20944,2,0.0714,28,19869,False,,LA,1644,0.561475,False,louisiana,governor
22007,county,G,GOP,67931,22010,2,0.0714,28,19869,False,,LA,1284,0.438525,False,louisiana,governor
22009,county,G,GOP,67931,22010,16,0.3265,49,19869,False,,LA,3726,0.559712,False,louisiana,governor
22009,county,G,Dem,27723,20944,16,0.3265,49,19869,False,,LA,2931,0.440288,False,louisiana,governor
22011,county,G,GOP,67931,22010,17,0.425,40,19869,False,,LA,4500,0.671241,False,louisiana,governor
22011,county,G,Dem,27723,20944,17,0.425,40,19869,False,,LA,2204,0.328759,False,louisiana,governor
22013,county,G,Dem,27723,20944,10,0.303,33,19869,False,,LA,1523,0.633791,False,louisiana,governor
22013,county,G,GOP,67931,22010,10,0.303,33,19869,False,,LA,880,0.366209,False,louisiana,governor
22015,county,G,GOP,67931,22010,3,0.0366,82,19869,False,,LA,8302,0.691833,False,louisiana,governor
22015,county,G,Dem,27723,20944,3,0.0366,82,19869,False,,LA,3698,0.308167,False,louisiana,governor
22017,county,G,Dem,27723,20944,2,0.013200000000000002,151,19869,False,,LA,8871,0.609942,False,louisiana,governor
22017,county,G,GOP,67931,22010,2,0.013200000000000002,151,19869,False,,LA,5673,0.390058,False,louisiana,governor
22019,county,G,GOP,67931,22010,6,0.0488,123,19869,False,,LA,8649,0.509364,False,louisiana,governor
22019,county,G,Dem,27723,20944,6,0.0488,123,19869,False,,LA,8331,0.490636,False,louisiana,governor
22021,county,G,GOP,67931,22010,7,0.36840000000000006,19,19869,False,,LA,1686,0.755715,False,louisiana,governor
22021,county,G,Dem,27723,20944,7,0.36840000000000006,19,19869,False,,LA,545,0.244285,False,louisiana,governor
22023,county,G,GOP,67931,22010,4,0.2857,14,19869,False,,LA,827,0.716017,False,louisiana,governor
22023,county,G,Dem,27723,20944,4,0.2857,14,19869,False,,LA,328,0.283983,False,louisiana,governor
22025,county,G,GOP,67931,22010,9,0.36,25,19869,False,,LA,1936,0.748357,False,louisiana,governor
22025,county,G,Dem,27723,20944,9,0.36,25,19869,False,,LA,651,0.251643,False,louisiana,governor
22027,county,G,GOP,67931,22010,15,0.6,25,19869,False,,LA,2247,0.528582,False,louisiana,governor
22027,county,G,Dem,27723,20944,15,0.6,25,19869,False,,LA,2004,0.471418,False,louisiana,governor
22029,county,G,GOP,67931,22010,5,0.25,20,19869,False,,LA,2036,0.617531,False,louisiana,governor
22029,county,G,Dem,27723,20944,5,0.25,20,19869,False,,LA,1261,0.382469,False,louisiana,governor
22031,county,G,Dem,27723,20944,13,0.3514,37,19869,False,,LA,3028,0.593493,False,louisiana,governor
22031,county,G,GOP,67931,22010,13,0.3514,37,19869,False,,LA,2074,0.406507,False,louisiana,governor
22033,county,G,Dem,27723,20944,36,0.1094,329,19869,False,,LA,45483,0.659901,False,louisiana,governor
22033,county,G,GOP,67931,22010,36,0.1094,329,19869,False,,LA,23441,0.340099,False,louisiana,governor
22035,county,G,Dem,27723,20944,4,0.2353,17,19869,False,,LA,1456,0.720435,False,louisiana,governor
22035,county,G,GOP,67931,22010,4,0.2353,17,19869,False,,LA,565,0.279565,False,louisiana,governor
22037,county,G,Dem,27723,20944,6,0.25,24,19869,False,,LA,2794,0.612719,False,louisiana,governor
22037,county,G,GOP,67931,22010,6,0.25,24,19869,False,,LA,1766,0.387281,False,louisiana,governor
22039,county,G,GOP,67931,22010,20,0.35710000000000003,56,19869,False,,LA,3981,0.55307,False,louisiana,governor
22039,county,G,Dem,27723,20944,20,0.35710000000000003,56,19869,False,,LA,3217,0.44693,False,louisiana,governor
22041,county,G,GOP,67931,22010,9,0.375,24,19869,False,,LA,3324,0.652661,False,louisiana,governor
22041,county,G,Dem,27723,20944,9,0.375,24,19869,False,,LA,1769,0.347339,False,louisiana,governor
22043,county,G,GOP,67931,22010,3,0.0882,34,19869,False,,LA,1266,0.654602,False,louisiana,governor
22043,county,G,Dem,27723,20944,3,0.0882,34,19869,False,,LA,668,0.345398,False,louisiana,governor
22045,county,G,GOP,67931,22010,20,0.3125,64,19869,False,,LA,8040,0.608077,False,louisiana,governor
22045,county,G,Dem,27723,20944,20,0.3125,64,19869,False,,LA,5182,0.391923,False,louisiana,governor
22047,county,G,Dem,27723,20944,21,0.5385,39,19869,False,,LA,5647,0.684319,False,louisiana,governor
22047,county,G,GOP,67931,22010,21,0.5385,39,19869,False,,LA,2605,0.315681,False,louisiana,governor
22049,county,G,GOP,67931,22010,18,0.5806,31,19869,False,,LA,2645,0.633837,False,louisiana,governor
22049,county,G,Dem,27723,20944,18,0.5806,31,19869,False,,LA,1528,0.366163,False,louisiana,governor
22051,county,G,Dem,27723,20944,74,0.2711,273,19869,False,,LA,30952,0.563553,False,louisiana,governor
22051,county,G,GOP,67931,22010,74,0.2711,273,19869,False,,LA,23971,0.436447,False,louisiana,governor
22053,county,G,GOP,67931,22010,7,0.3182,22,19869,False,,LA,3285,0.62919,False,louisiana,governor
22053,county,G,Dem,27723,20944,7,0.3182,22,19869,False,,LA,1936,0.37081,False,louisiana,governor
22055,county,G,GOP,67931,22010,46,0.3622,127,19869,False,,LA,19306,0.569868,False,louisiana,governor
22055,county,G,Dem,27723,20944,46,0.3622,127,19869,False,,LA,14572,0.430132,False,louisiana,governor
22057,county,G,GOP,67931,22010,23,0.31510000000000005,73,19869,False,,LA,10468,0.621911,False,louisiana,governor
22057,county,G,Dem,27723,20944,23,0.31510000000000005,73,19869,False,,LA,6364,0.378089,False,louisiana,governor
22059,county,G,GOP,67931,22010,0,0.0,24,19869,False,,LA,2223,0.819993,False,louisiana,governor
22059,county,G,Dem,27723,20944,0,0.0,24,19869,False,,LA,488,0.180007,False,louisiana,governor
22061,county,G,Dem,27723,20944,0,0.0,57,19869,False,,LA,2663,0.519508,False,louisiana,governor
22061,county,G,GOP,67931,22010,0,0.0,57,19869,False,,LA,2463,0.480492,False,louisiana,governor
