fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,Dem,27723,20944,3643,0.9259999999999999,3934,19869,False,,LA,711771,0.50329,False,louisiana,governor
,state,G,GOP,67931,22010,3643,0.9259999999999999,3934,19869,False,,LA,702465,0.49671,False,louisiana,governor
22001,county,G,GOP,67931,22010,55,1.0,55,19869,False,,LA,14189,0.718649,False,louisiana,governor
22001,county,G,Dem,27723,20944,55,1.0,55,19869,False,,LA,5555,0.281351,False,louisiana,governor
22003,county,G,GOP,67931,22010,29,1.0,29,19869,False,,LA,3911,0.626462,False,louisiana,governor
22003,county,G,Dem,27723,20944,29,1.0,29,19869,False,,LA,2332,0.373538,False,louisiana,governor
22005,county,G,GOP,67931,22010,74,1.0,74,19869,False,,LA,21295,0.522718,False,louisiana,governor
22005,county,G,Dem,27723,20944,74,1.0,74,19869,False,,LA,19444,0.477282,False,louisiana,governor
22007,county,G,Dem,27723,20944,28,1.0,28,19869,False,,LA,4583,0.528482,False,louisiana,governor
22007,county,G,GOP,67931,22010,28,1.0,28,19869,False,,LA,4089,0.471518,False,louisiana,governor
22009,county,G,GOP,67931,22010,49,1.0,49,19869,False,,LA,7460,0.553864,False,louisiana,governor
22009,county,G,Dem,27723,20944,49,1.0,49,19869,False,,LA,6009,0.446136,False,louisiana,governor
22011,county,G,GOP,67931,22010,40,1.0,40,19869,False,,LA,8327,0.723081,False,louisiana,governor
22011,county,G,Dem,27723,20944,40,1.0,40,19869,False,,LA,3189,0.276919,False,louisiana,governor
22013,county,G,Dem,27723,20944,21,0.6364,33,19869,False,,LA,2228,0.607581,False,louisiana,governor
22013,county,G,GOP,67931,22010,21,0.6364,33,19869,False,,LA,1439,0.392419,False,louisiana,governor
22015,county,G,GOP,67931,22010,82,1.0,82,19869,False,,LA,24059,0.66178,False,louisiana,governor
22015,county,G,Dem,27723,20944,82,1.0,82,19869,False,,LA,12296,0.33822,False,louisiana,governor
22017,county,G,Dem,27723,20944,125,0.8278,151,19869,False,,LA,39490,0.586924,False,louisiana,governor
22017,county,G,GOP,67931,22010,125,0.8278,151,19869,False,,LA,27793,0.413076,False,louisiana,governor
22019,county,G,GOP,67931,22010,122,0.9919,123,19869,False,,LA,28677,0.516191,False,louisiana,governor
22019,county,G,Dem,27723,20944,122,0.9919,123,19869,False,,LA,26878,0.483809,False,louisiana,governor
22021,county,G,GOP,67931,22010,19,1.0,19,19869,False,,LA,2644,0.749008,False,louisiana,governor
22021,county,G,Dem,27723,20944,19,1.0,19,19869,False,,LA,886,0.250992,False,louisiana,governor
22023,county,G,GOP,67931,22010,12,0.8571,14,19869,False,,LA,1534,0.739277,False,louisiana,governor
22023,county,G,Dem,27723,20944,12,0.8571,14,19869,False,,LA,541,0.260723,False,louisiana,governor
22025,county,G,GOP,67931,22010,25,1.0,25,19869,False,,LA,2838,0.65573,False,louisiana,governor
22025,county,G,Dem,27723,20944,25,1.0,25,19869,False,,LA,1490,0.34427,False,louisiana,governor
22027,county,G,GOP,67931,22010,25,1.0,25,19869,False,,LA,2987,0.529047,False,louisiana,governor
22027,county,G,Dem,27723,20944,25,1.0,25,19869,False,,LA,2659,0.470953,False,louisiana,governor
22029,county,G,GOP,67931,22010,20,1.0,20,19869,False,,LA,3633,0.545495,False,louisiana,governor
22029,county,G,Dem,27723,20944,20,1.0,20,19869,False,,LA,3027,0.454505,False,louisiana,governor
22031,county,G,GOP,67931,22010,37,1.0,37,19869,False,,LA,5753,0.543762,False,louisiana,governor
22031,county,G,Dem,27723,20944,37,1.0,37,19869,False,,LA,4827,0.456238,False,louisiana,governor
22033,county,G,Dem,27723,20944,221,0.6717000000000001,329,19869,False,,LA,82533,0.650732,False,louisiana,governor
22033,county,G,GOP,67931,22010,221,0.6717000000000001,329,19869,False,,LA,44298,0.349268,False,louisiana,governor
22035,county,G,Dem,27723,20944,17,1.0,17,19869,False,,LA,1886,0.697485,False,louisiana,governor
22035,county,G,GOP,67931,22010,17,1.0,17,19869,False,,LA,818,0.302515,False,louisiana,governor
22037,county,G,Dem,27723,20944,24,1.0,24,19869,False,,LA,4733,0.567438,False,louisiana,governor
22037,county,G,GOP,67931,22010,24,1.0,24,19869,False,,LA,3608,0.432562,False,louisiana,governor
22039,county,G,GOP,67931,22010,56,1.0,56,19869,False,,LA,7513,0.612506,False,louisiana,governor
22039,county,G,Dem,27723,20944,56,1.0,56,19869,False,,LA,4753,0.387494,False,louisiana,governor
22041,county,G,GOP,67931,22010,24,1.0,24,19869,False,,LA,4812,0.634243,False,louisiana,governor
22041,county,G,Dem,27723,20944,24,1.0,24,19869,False,,LA,2775,0.365757,False,louisiana,governor
22043,county,G,GOP,67931,22010,34,1.0,34,19869,False,,LA,4751,0.745138,False,louisiana,governor
22043,county,G,Dem,27723,20944,34,1.0,34,19869,False,,LA,1625,0.254862,False,louisiana,governor
22045,county,G,GOP,67931,22010,64,1.0,64,19869,False,,LA,14783,0.615727,False,louisiana,governor
22045,county,G,Dem,27723,20944,64,1.0,64,19869,False,,LA,9226,0.384273,False,louisiana,governor
22047,county,G,Dem,27723,20944,39,1.0,39,19869,False,,LA,8787,0.669537,False,louisiana,governor
22047,county,G,GOP,67931,22010,39,1.0,39,19869,False,,LA,4337,0.330463,False,louisiana,governor
22049,county,G,GOP,67931,22010,31,1.0,31,19869,False,,LA,3561,0.62982,False,louisiana,governor
22049,county,G,Dem,27723,20944,31,1.0,31,19869,False,,LA,2093,0.37018,False,louisiana,governor
22051,county,G,Dem,27723,20944,270,0.9890000000000001,273,19869,False,,LA,71756,0.570375,False,louisiana,governor
22051,county,G,GOP,67931,22010,270,0.9890000000000001,273,19869,False,,LA,54049,0.429625,False,louisiana,governor
22053,county,G,GOP,67931,22010,22,1.0,22,19869,False,,LA,6341,0.644804,False,louisiana,governor
22053,county,G,Dem,27723,20944,22,1.0,22,19869,False,,LA,3493,0.355196,False,louisiana,governor
22055,county,G,GOP,67931,22010,127,1.0,127,19869,False,,LA,46643,0.596633,False,louisiana,governor
22055,county,G,Dem,27723,20944,127,1.0,127,19869,False,,LA,31534,0.403367,False,louisiana,governor
22057,county,G,GOP,67931,22010,73,1.0,73,19869,False,,LA,19104,0.642043,False,louisiana,governor
22057,county,G,Dem,27723,20944,73,1.0,73,19869,False,,LA,10651,0.357957,False,louisiana,governor
22059,county,G,GOP,67931,22010,24,1.0,24,19869,False,,LA,4897,0.82261,False,louisiana,governor
22059,county,G,Dem,27723,20944,24,1.0,24,19869,False,,LA,1056,0.17739,False,louisiana,governor
22061,county,G,GOP,67931,22010,57,1.0,57,19869,False,,LA,6791,0.511987,False,louisiana,governor
22061,county,G,Dem,27723,20944,57,1.0,57,19869,False,,LA,6473,0.488013,False,louisiana,governor
22063,county,G,GOP,67931,22010,79,1.0,79,19869,False,,LA,28017,0.703821,False,louisiana,governor
22063,county,G,Dem,27723,20944,79,1.0,79,19869,False,,LA,11790,0.296179,False,louisiana,governor
22065,county,G,Dem,27723,20944,26,1.0,26,19869,False,,LA,2593,0.650038,False,louisiana,governor
22065,county,G,GOP,67931,22010,26,1.0,26,19869,False,,LA,1396,0.349962,False,louisiana,governor
22067,county,G,Dem,27723,20944,43,1.0,43,19869,False,,LA,4369,0.513758,False,louisiana,governor
