fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,GOP,67931,22010,168,0.042699999999999995,3934,19869,False,,LA,231944,0.52116,False,louisiana,governor
,state,G,Dem,27723,20944,168,0.042699999999999995,3934,19869,False,,LA,213109,0.47884,False,louisiana,governor
22001,county,G,GOP,67931,22010,9,0.1636,55,19869,False,,LA,5166,0.699337,False,louisiana,governor
22001,county,G,Dem,27723,20944,9,0.1636,55,19869,False,,LA,2221,0.300663,False,louisiana,governor
22003,county,G,GOP,67931,22010,6,0.20690000000000003,29,19869,False,,LA,1018,0.556893,False,louisiana,governor
22003,county,G,Dem,27723,20944,6,0.20690000000000003,29,19869,False,,LA,810,0.443107,False,louisiana,governor
22005,county,G,GOP,67931,22010,6,0.08109999999999999,74,19869,False,,LA,9608,0.523625,False,louisiana,governor
22005,county,G,Dem,27723,20944,6,0.08109999999999999,74,19869,False,,LA,8741,0.476375,False,louisiana,governor
22007,county,G,Dem,27723,20944,2,0.0714,28,19869,False,,LA,1644,0.561475,False,louisiana,governor
22007,county,G,GOP,67931,22010,2,0.0714,28,19869,False,,LA,1284,0.438525,False,louisiana,governor
22009,county,G,GOP,67931,22010,1,0.0204,49,19869,False,,LA,2019,0.587773,False,louisiana,governor
22009,county,G,Dem,27723,20944,1,0.0204,49,19869,False,,LA,1416,0.412227,False,louisiana,governor
22011,county,G,GOP,67931,22010,1,0.025,40,19869,False,,LA,2918,0.676402,False,louisiana,governor
22011,county,G,Dem,27723,20944,1,0.025,40,19869,False,,LA,1396,0.323598,False,louisiana,governor
22013,county,G,Dem,27723,20944,0,0.0,33,19869,False,,LA,915,0.600394,False,louisiana,governor
22013,county,G,GOP,67931,22010,0,0.0,33,19869,False,,LA,609,0.399606,False,louisiana,governor
22015,county,G,GOP,67931,22010,0,0.0,82,19869,False,,LA,7756,0.700696,False,louisiana,governor
22015,county,G,Dem,27723,20944,0,0.0,82,19869,False,,LA,3313,0.299304,False,louisiana,governor
22017,county,G,Dem,27723,20944,0,0.0,151,19869,False,,LA,7991,0.586194,False,louisiana,governor
22017,county,G,GOP,67931,22010,0,0.0,151,19869,False,,LA,5641,0.413806,False,louisiana,governor
22019,county,G,GOP,67931,22010,0,0.0,123,19869,False,,LA,8188,0.518819,False,louisiana,governor
22019,county,G,Dem,27723,20944,0,0.0,123,19869,False,,LA,7594,0.481181,False,louisiana,governor
22021,county,G,GOP,67931,22010,0,0.0,19,19869,False,,LA,1144,0.757114,False,louisiana,governor
22021,county,G,Dem,27723,20944,0,0.0,19,19869,False,,LA,367,0.242886,False,louisiana,governor
22023,county,G,GOP,67931,22010,2,0.1429,14,19869,False,,LA,682,0.718651,False,louisiana,governor
