fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,GOP,67931,22010,2344,0.5958,3934,19869,False,,LA,520375,0.501608,False,louisiana,governor
,state,G,Dem,27723,20944,2344,0.5958,3934,19869,False,,LA,517039,0.498392,False,louisiana,governor
22001,county,G,GOP,67931,22010,43,0.7818,55,19869,False,,LA,11319,0.719123,False,louisiana,governor
22001,county,G,Dem,27723,20944,43,0.7818,55,19869,False,,LA,4421,0.280877,False,louisiana,governor
22003,county,G,GOP,67931,22010,22,0.7586,29,19869,False,,LA,2854,0.586398,False,louisiana,governor
22003,county,G,Dem,27723,20944,22,0.7586,29,19869,False,,LA,2013,0.413602,False,louisiana,governor
22005,county,G,GOP,67931,22010,60,0.8108,74,19869,False,,LA,18808,0.524733,False,louisiana,governor
22005,county,G,Dem,27723,20944,60,0.8108,74,19869,False,,LA,17035,0.475267,False,louisiana,governor
22007,county,G,Dem,27723,20944,24,0.8571,28,19869,False,,LA,4321,0.554614,False,louisiana,governor
22007,county,G,GOP,67931,22010,24,0.8571,28,19869,False,,LA,3470,0.445386,False,louisiana,governor
22009,county,G,GOP,67931,22010,44,0.898,49,19869,False,,LA,7069,0.559212,False,louisiana,governor
22009,county,G,Dem,27723,20944,44,0.898,49,19869,False,,LA,5572,0.440788,False,louisiana,governor
22011,county,G,GOP,67931,22010,27,0.675,40,19869,False,,LA,5867,0.694402,False,louisiana,governor
22011,county,G,Dem,27723,20944,27,0.675,40,19869,False,,LA,2582,0.305598,False,louisiana,governor
22013,county,G,Dem,27723,20944,17,0.5152,33,19869,False,,LA,1837,0.597787,False,louisiana,governor
22013,county,G,GOP,67931,22010,17,0.5152,33,19869,False,,LA,1236,0.402213,False,louisiana,governor
22015,county,G,GOP,67931,22010,36,0.439,82,19869,False,,LA,15139,0.681415,False,louisiana,governor
22015,county,G,Dem,27723,20944,36,0.439,82,19869,False,,LA,7078,0.318585,False,louisiana,governor
22017,county,G,Dem,27723,20944,12,0.0795,151,19869,False,,LA,10875,0.609585,False,louisiana,governor
22017,county,G,GOP,67931,22010,12,0.0795,151,19869,False,,LA,6965,0.390415,False,louisiana,governor
22019,county,G,Dem,27723,20944,88,0.7154,123,19869,False,,LA,22420,0.508852,False,louisiana,governor
22019,county,G,GOP,67931,22010,88,0.7154,123,19869,False,,LA,21640,0.491148,False,louisiana,governor
22021,county,G,GOP,67931,22010,19,1.0,19,19869,False,,LA,2644,0.749008,False,louisiana,governor
22021,county,G,Dem,27723,20944,19,1.0,19,19869,False,,LA,886,0.250992,False,louisiana,governor
22023,county,G,GOP,67931,22010,5,0.35710000000000003,14,19869,False,,LA,897,0.714741,False,louisiana,governor
22023,county,G,Dem,27723,20944,5,0.35710000000000003,14,19869,False,,LA,358,0.285259,False,louisiana,governor
22025,county,G,GOP,67931,22010,21,0.84,25,19869,False,,LA,2581,0.644928,False,louisiana,governor
22025,county,G,Dem,27723,20944,21,0.84,25,19869,False,,LA,1421,0.355072,False,louisiana,governor
22027,county,G,GOP,67931,22010,24,0.96,25,19869,False,,LA,2807,0.524869,False,louisiana,governor
22027,county,G,Dem,27723,20944,24,0.96,25,19869,False,,LA,2541,0.475131,False,louisiana,governor
22029,county,G,GOP,67931,22010,16,0.8,20,19869,False,,LA,3158,0.576804,False,louisiana,governor
22029,county,G,Dem,27723,20944,16,0.8,20,19869,False,,LA,2317,0.423196,False,louisiana,governor
22031,county,G,GOP,67931,22010,31,0.8378,37,19869,False,,LA,5104,0.537659,False,louisiana,governor
22031,county,G,Dem,27723,20944,31,0.8378,37,19869,False,,LA,4389,0.462341,False,louisiana,governor
22033,county,G,Dem,27723,20944,36,0.1094,329,19869,False,,LA,45483,0.659901,False,louisiana,governor
22033,county,G,GOP,67931,22010,36,0.1094,329,19869,False,,LA,23441,0.340099,False,louisiana,governor
22035,county,G,Dem,27723,20944,16,0.9412,17,19869,False,,LA,1832,0.705429,False,louisiana,governor
22035,county,G,GOP,67931,22010,16,0.9412,17,19869,False,,LA,765,0.294571,False,louisiana,governor
22037,county,G,Dem,27723,20944,18,0.75,24,19869,False,,LA,4186,0.581308,False,louisiana,governor
22037,county,G,GOP,67931,22010,18,0.75,24,19869,False,,LA,3015,0.418692,False,louisiana,governor
22039,county,G,GOP,67931,22010,46,0.8214,56,19869,False,,LA,6612,0.596751,False,louisiana,governor
22039,county,G,Dem,27723,20944,46,0.8214,56,19869,False,,LA,4468,0.403249,False,louisiana,governor
22041,county,G,GOP,67931,22010,22,0.9167000000000001,24,19869,False,,LA,4521,0.627917,False,louisiana,governor
22041,county,G,Dem,27723,20944,22,0.9167000000000001,24,19869,False,,LA,2679,0.372083,False,louisiana,governor
22043,county,G,GOP,67931,22010,24,0.7059000000000001,34,19869,False,,LA,3684,0.720235,False,louisiana,governor
22043,county,G,Dem,27723,20944,24,0.7059000000000001,34,19869,False,,LA,1431,0.279765,False,louisiana,governor
22045,county,G,GOP,67931,22010,40,0.625,64,19869,False,,LA,11243,0.614943,False,louisiana,governor
22045,county,G,Dem,27723,20944,40,0.625,64,19869,False,,LA,7040,0.385057,False,louisiana,governor
22047,county,G,Dem,27723,20944,29,0.7436,39,19869,False,,LA,6395,0.663244,False,louisiana,governor
22047,county,G,GOP,67931,22010,29,0.7436,39,19869,False,,LA,3247,0.336756,False,louisiana,governor
22049,county,G,GOP,67931,22010,27,0.871,31,19869,False,,LA,3478,0.644313,False,louisiana,governor
22049,county,G,Dem,27723,20944,27,0.871,31,19869,False,,LA,1920,0.355687,False,louisiana,governor
22051,county,G,Dem,27723,20944,221,0.8095,273,19869,False,,LA,59450,0.563774,False,louisiana,governor
22051,county,G,GOP,67931,22010,221,0.8095,273,19869,False,,LA,46000,0.436226,False,louisiana,governor
22053,county,G,GOP,67931,22010,19,0.8636,22,19869,False,,LA,5977,0.636596,False,louisiana,governor
22053,county,G,Dem,27723,20944,19,0.8636,22,19869,False,,LA,3412,0.363404,False,louisiana,governor
22055,county,G,GOP,67931,22010,95,0.748,127,19869,False,,LA,37448,0.607232,False,louisiana,governor
22055,county,G,Dem,27723,20944,95,0.748,127,19869,False,,LA,24222,0.392768,False,louisiana,governor
22057,county,G,GOP,67931,22010,34,0.4658,73,19869,False,,LA,12429,0.62021,False,louisiana,governor
22057,county,G,Dem,27723,20944,34,0.4658,73,19869,False,,LA,7611,0.37979,False,louisiana,governor
22059,county,G,GOP,67931,22010,0,0.0,24,19869,False,,LA,2223,0.819993,False,louisiana,governor
22059,county,G,Dem,27723,20944,0,0.0,24,19869,False,,LA,488,0.180007,False,louisiana,governor
22061,county,G,Dem,27723,20944,23,0.4035,57,19869,False,,LA,4906,0.510351,False,louisiana,governor
22061,county,G,GOP,67931,22010,23,0.4035,57,19869,False,,LA,4707,0.489649,False,louisiana,governor
22063,county,G,GOP,67931,22010,59,0.7468000000000001,79,19869,False,,LA,23013,0.70258,False,louisiana,governor
22063,county,G,Dem,27723,20944,59,0.7468000000000001,79,19869,False,,LA,9742,0.29742,False,louisiana,governor
22065,county,G,Dem,27723,20944,24,0.9231,26,19869,False,,LA,2537,0.676353,False,louisiana,governor
22065,county,G,GOP,67931,22010,24,0.9231,26,19869,False,,LA,1214,0.323647,False,louisiana,governor
22067,county,G,Dem,27723,20944,43,1.0,43,19869,False,,LA,4369,0.513758,False,louisiana,governor
22067,county,G,GOP,67931,22010,43,1.0,43,19869,False,,LA,4135,0.486242,False,louisiana,governor
22069,county,G,Dem,27723,20944,30,0.6,50,19869,False,,LA,5591,0.600537,False,louisiana,governor
22069,county,G,GOP,67931,22010,30,0.6,50,19869,False,,LA,3719,0.399463,False,louisiana,governor
22071,county,G,Dem,27723,20944,85,0.2422,351,19869,False,,LA,55562,0.914872,False,louisiana,governor
22071,county,G,GOP,67931,22010,85,0.2422,351,19869,False,,LA,5170,0.085128,False,louisiana,governor
22073,county,G,GOP,67931,22010,39,0.4483,87,19869,False,,LA,16839,0.52453,False,louisiana,governor
22073,county,G,Dem,27723,20944,39,0.4483,87,19869,False,,LA,15264,0.47547,False,louisiana,governor
22075,county,G,GOP,67931,22010,11,0.6875,16,19869,False,,LA,3581,0.559182,False,louisiana,governor
22075,county,G,Dem,27723,20944,11,0.6875,16,19869,False,,LA,2823,0.440818,False,louisiana,governor
22077,county,G,Dem,27723,20944,22,0.7857,28,19869,False,,LA,5217,0.579989,False,louisiana,governor
22077,county,G,GOP,67931,22010,22,0.7857,28,19869,False,,LA,3778,0.420011,False,louisiana,governor
22079,county,G,Dem,27723,20944,49,0.4336,113,19869,False,,LA,5500,0.51063,False,louisiana,governor
22079,county,G,GOP,67931,22010,49,0.4336,113,19869,False,,LA,5271,0.48937,False,louisiana,governor
22081,county,G,Dem,27723,20944,18,1.0,18,19869,False,,LA,1827,0.509339,False,louisiana,governor
22081,county,G,GOP,67931,22010,18,1.0,18,19869,False,,LA,1760,0.490661,False,louisiana,governor
22083,county,G,GOP,67931,22010,21,0.913,23,19869,False,,LA,4061,0.561687,False,louisiana,governor
22083,county,G,Dem,27723,20944,21,0.913,23,19869,False,,LA,3169,0.438313,False,louisiana,governor
22085,county,G,GOP,67931,22010,38,0.9744,39,19869,False,,LA,6071,0.786705,False,louisiana,governor
22085,county,G,Dem,27723,20944,38,0.9744,39,19869,False,,LA,1646,0.213295,False,louisiana,governor
22087,county,G,Dem,27723,20944,31,1.0,31,19869,False,,LA,5585,0.543024,False,louisiana,governor
22087,county,G,GOP,67931,22010,31,1.0,31,19869,False,,LA,4700,0.456976,False,louisiana,governor
22089,county,G,Dem,27723,20944,37,0.8409000000000001,44,19869,False,,LA,8079,0.507539,False,louisiana,governor
22089,county,G,GOP,67931,22010,37,0.8409000000000001,44,19869,False,,LA,7839,0.492461,False,louisiana,governor
22091,county,G,Dem,27723,20944,6,0.5455,11,19869,False,,LA,2890,0.7528,False,louisiana,governor
22091,county,G,GOP,67931,22010,6,0.5455,11,19869,False,,LA,949,0.2472,False,louisiana,governor
22093,county,G,Dem,27723,20944,12,0.4,30,19869,False,,LA,4428,0.677479,False,louisiana,governor
22093,county,G,GOP,67931,22010,12,0.4,30,19869,False,,LA,2108,0.322521,False,louisiana,governor
22095,county,G,Dem,27723,20944,39,1.0,39,19869,False,,LA,11357,0.740545,False,louisiana,governor
22095,county,G,GOP,67931,22010,39,1.0,39,19869,False,,LA,3979,0.259455,False,louisiana,governor
22097,county,G,Dem,27723,20944,44,0.4783,92,19869,False,,LA,10648,0.529567,False,louisiana,governor
22097,county,G,GOP,67931,22010,44,0.4783,92,19869,False,,LA,9459,0.470433,False,louisiana,governor
22099,county,G,GOP,67931,22010,37,0.7255,51,19869,False,,LA,10151,0.630575,False,louisiana,governor
22099,county,G,Dem,27723,20944,37,0.7255,51,19869,False,,LA,5947,0.369425,False,louisiana,governor
22101,county,G,GOP,67931,22010,50,0.9804,51,19869,False,,LA,9002,0.553697,False,louisiana,governor
22101,county,G,Dem,27723,20944,50,0.9804,51,19869,False,,LA,7256,0.446303,False,louisiana,governor
22103,county,G,GOP,67931,22010,53,0.3136,169,19869,False,,LA,30116,0.589135,False,louisiana,governor
22103,county,G,Dem,27723,20944,53,0.3136,169,19869,False,,LA,21003,0.410865,False,louisiana,governor
22105,county,G,Dem,27723,20944,79,0.908,87,19869,False,,LA,19074,0.538677,False,louisiana,governor
22105,county,G,GOP,67931,22010,79,0.908,87,19869,False,,LA,16335,0.461323,False,louisiana,governor
22107,county,G,Dem,27723,20944,16,1.0,16,19869,False,,LA,1301,0.623981,False,louisiana,governor
22107,county,G,GOP,67931,22010,16,1.0,16,19869,False,,LA,784,0.376019,False,louisiana,governor
22109,county,G,GOP,67931,22010,68,0.7391,92,19869,False,,LA,16766,0.638462,False,louisiana,governor
22109,county,G,Dem,27723,20944,68,0.7391,92,19869,False,,LA,9494,0.361538,False,louisiana,governor
22111,county,G,GOP,67931,22010,21,0.7241,29,19869,False,,LA,4329,0.68184,False,louisiana,governor
22111,county,G,Dem,27723,20944,21,0.7241,29,19869,False,,LA,2020,0.31816,False,louisiana,governor
22113,county,G,GOP,67931,22010,46,0.8364,55,19869,False,,LA,12128,0.747903,False,louisiana,governor
22113,county,G,Dem,27723,20944,46,0.8364,55,19869,False,,LA,4088,0.252097,False,louisiana,governor
22115,county,G,GOP,67931,22010,65,0.8904000000000001,73,19869,False,,LA,7557,0.756078,False,louisiana,governor
22115,county,G,Dem,27723,20944,65,0.8904000000000001,73,19869,False,,LA,2438,0.243922,False,louisiana,governor
22117,county,G,GOP,67931,22010,40,0.9756,41,19869,False,,LA,6636,0.520511,False,louisiana,governor
22117,county,G,Dem,27723,20944,40,0.9756,41,19869,False,,LA,6113,0.479489,False,louisiana,governor
22119,county,G,GOP,67931,22010,30,0.75,40,19869,False,,LA,6749,0.569969,False,louisiana,governor
22119,county,G,Dem,27723,20944,30,0.75,40,19869,False,,LA,5092,0.430031,False,louisiana,governor
22121,county,G,Dem,27723,20944,29,1.0,29,19869,False,,LA,6501,0.57409,False,louisiana,governor
22121,county,G,GOP,67931,22010,29,1.0,29,19869,False,,LA,4823,0.42591,False,louisiana,governor
22123,county,G,GOP,67931,22010,14,0.8235,17,19869,False,,LA,2930,0.745737,False,louisiana,governor
22123,county,G,Dem,27723,20944,14,0.8235,17,19869,False,,LA,999,0.254263,False,louisiana,governor
22125,county,G,Dem,27723,20944,27,0.7714,35,19869,False,,LA,2514,0.573842,False,louisiana,governor
22125,county,G,GOP,67931,22010,27,0.7714,35,19869,False,,LA,1867,0.426158,False,louisiana,governor
22127,county,G,GOP,67931,22010,22,0.7097,31,19869,False,,LA,2208,0.616071,False,louisiana,governor
22127,county,G,Dem,27723,20944,22,0.7097,31,19869,False,,LA,1376,0.383929,False,louisiana,governor
