returned,month,county,year,date,day,sent
3581,11,door,2016,2016/11/7,7,3851
4641,11,douglas,2016,2016/11/7,7,4871
2667,11,dunn,2016,2016/11/7,7,2883
3960,11,door,2016,2016/11/8,8,4204
4776,11,douglas,2016,2016/11/8,8,4943
2829,11,dunn,2016,2016/11/8,8,2984
13510,11,eau claire,2016,2016/11/8,8,13789
271,11,florence,2016,2016/11/8,8,294
9748,11,fond du lac,2016,2016/11/8,8,10093
505,11,forest,2016,2016/11/8,8,529
3494,11,grant,2016,2016/11/8,8,3607
621,11,lafayette,2016,2016/11/9,9,637
1113,11,langlade,2016,2016/11/9,9,1173
1737,11,lincoln,2016,2016/11/9,9,1820
8271,11,manitowoc,2016,2016/11/9,9,8426
16784,11,marathon,2016,2016/11/9,9,17178
3615,11,marinette,2016,2016/11/9,9,3689
61,9,st. croix,2018,2018/9/26,26,771
72,9,sauk,2018,2018/9/26,26,743
50,9,sawyer,2018,2018/9/26,26,228
41,9,shawano,2018,2018/9/26,26,378
150,9,sheboygan,2018,2018/9/26,26,1675
9,9,taylor,2018,2018/9/26,26,125
3,9,trempealeau,2018,2018/9/26,26,50
5,9,vernon,2018,2018/9/26,26,157
981,11,burnett,2016,2016/11/15,15,1011
5403,11,calumet,2016,2016/11/15,15,5475
6640,11,chippewa,2016,2016/11/15,15,6757
864,11,clark,2016,2016/11/15,15,924
6058,11,columbia,2016,2016/11/15,15,6141
942,11,crawford,2016,2016/11/15,15,965
126385,11,dane,2016,2016/11/15,15,128811
6461,11,dodge,2016,2016/11/15,15,6563
13216,11,eau claire,2016,2016/11/7,7,13634
266,11,florence,2016,2016/11/7,7,294
9213,11,fond du lac,2016,2016/11/7,7,9701
490,11,forest,2016,2016/11/7,7,524
3360,11,grant,2016,2016/11/7,7,3538
2957,11,green,2016,2016/11/7,7,3123
1044,11,green lake,2016,2016/11/7,7,1135
2389,11,iowa,2016,2016/11/7,7,2463
3063,11,green,2016,2016/11/8,8,3165
1108,11,green lake,2016,2016/11/8,8,1167
2471,11,iowa,2016,2016/11/8,8,2517
564,11,iron,2016,2016/11/8,8,597
739,11,jackson,2016,2016/11/8,8,787
9586,11,jefferson,2016,2016/11/8,8,9920
1376,11,juneau,2016,2016/11/8,8,1503
876,11,marquette,2016,2016/11/9,9,910
158,11,menominee,2016,2016/11/9,9,161
130356,11,milwaukee,2016,2016/11/9,9,132779
3198,11,monroe,2016,2016/11/9,9,3308
3039,11,oconto,2016,2016/11/9,9,3102
3364,11,oneida,2016,2016/11/9,9,3638
34959,11,outagamie,2016,2016/11/9,9,35510
20955,11,ozaukee,2016,2016/11/9,9,21335
288,11,pepin,2016,2016/11/9,9,355
87,9,vilas,2018,2018/9/26,26,365
88,9,walworth,2018,2018/9/26,26,1674
14,9,washburn,2018,2018/9/26,26,184
79,9,washington,2018,2018/9/26,26,1983
432,9,waukesha,2018,2018/9/26,26,7593
4189,11,door,2016,2016/11/15,15,4326
4853,11,douglas,2016,2016/11/15,15,4952
2868,11,dunn,2016,2016/11/15,15,2975
