fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
28025,county,G,GOP,64539,27165,1,0.0714,14,25002,False,,MS,139,0.421212,False,mississippi,governor
28025,county,G,Ind,67929,28638,1,0.0714,14,25002,False,,MS,3,0.009091,False,mississippi,governor
28025,county,G,CST,67928,28628,1,0.0714,14,25002,False,,MS,1,0.00303,False,mississippi,governor
28027,county,G,CST,67928,28628,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28027,county,G,Dem,27770,27160,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28027,county,G,GOP,64539,27165,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28027,county,G,Ind,67929,28638,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,CST,67928,28628,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,Dem,27770,27160,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,GOP,64539,27165,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,Ind,67929,28638,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28031,county,G,GOP,64539,27165,1,0.0667,15,25002,False,,MS,163,0.724444,False,mississippi,governor
28031,county,G,Dem,27770,27160,1,0.0667,15,25002,False,,MS,58,0.257778,False,mississippi,governor
28031,county,G,Ind,67929,28638,1,0.0667,15,25002,False,,MS,3,0.013333,False,mississippi,governor
28031,county,G,CST,67928,28628,1,0.0667,15,25002,False,,MS,1,0.004444,False,mississippi,governor
28033,county,G,GOP,64539,27165,11,0.2683,41,25002,False,,MS,3009,0.540215,False,mississippi,governor
28033,county,G,Dem,27770,27160,11,0.2683,41,25002,False,,MS,2472,0.443806,False,mississippi,governor
28033,county,G,Ind,67929,28638,11,0.2683,41,25002,False,,MS,67,0.012029,False,mississippi,governor
28033,county,G,CST,67928,28628,11,0.2683,41,25002,False,,MS,22,0.00395,False,mississippi,governor
28035,county,G,GOP,64539,27165,2,0.0588,34,25002,False,,MS,607,0.638947,False,mississippi,governor
28035,county,G,Dem,27770,27160,2,0.0588,34,25002,False,,MS,326,0.343158,False,mississippi,governor
28035,county,G,Ind,67929,28638,2,0.0588,34,25002,False,,MS,13,0.013684,False,mississippi,governor
28035,county,G,CST,67928,28628,2,0.0588,34,25002,False,,MS,4,0.004211,False,mississippi,governor
28037,county,G,CST,67928,28628,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28037,county,G,Dem,27770,27160,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
