fipscode,level,officeid,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,raceid,runoff,seatnum,statepostal,votecount,votepct,winner,state_slug,office_slug
,state,G,GOP,64539,27165,23,0.013000000000000001,1768,25002,False,,MS,5266,0.510519,False,mississippi,governor
,state,G,Dem,27770,27160,23,0.013000000000000001,1768,25002,False,,MS,4821,0.467378,False,mississippi,governor
,state,G,Ind,67929,28638,23,0.013000000000000001,1768,25002,False,,MS,156,0.015124,False,mississippi,governor
,state,G,CST,67928,28628,23,0.013000000000000001,1768,25002,False,,MS,72,0.00698,False,mississippi,governor
28001,county,G,CST,67928,28628,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28001,county,G,Dem,27770,27160,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28001,county,G,GOP,64539,27165,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28001,county,G,Ind,67929,28638,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28003,county,G,CST,67928,28628,0,0.0,17,25002,False,,MS,0,0.0,False,mississippi,governor
28003,county,G,Dem,27770,27160,0,0.0,17,25002,False,,MS,0,0.0,False,mississippi,governor
28003,county,G,GOP,64539,27165,0,0.0,17,25002,False,,MS,0,0.0,False,mississippi,governor
28003,county,G,Ind,67929,28638,0,0.0,17,25002,False,,MS,0,0.0,False,mississippi,governor
28005,county,G,GOP,64539,27165,1,0.047599999999999996,21,25002,False,,MS,185,0.531609,False,mississippi,governor
28005,county,G,Dem,27770,27160,1,0.047599999999999996,21,25002,False,,MS,93,0.267241,False,mississippi,governor
28005,county,G,CST,67928,28628,1,0.047599999999999996,21,25002,False,,MS,43,0.123563,False,mississippi,governor
28005,county,G,Ind,67929,28638,1,0.047599999999999996,21,25002,False,,MS,27,0.077586,False,mississippi,governor
28007,county,G,CST,67928,28628,0,0.0,20,25002,False,,MS,0,0.0,False,mississippi,governor
28007,county,G,Dem,27770,27160,0,0.0,20,25002,False,,MS,0,0.0,False,mississippi,governor
28007,county,G,GOP,64539,27165,0,0.0,20,25002,False,,MS,0,0.0,False,mississippi,governor
28007,county,G,Ind,67929,28638,0,0.0,20,25002,False,,MS,0,0.0,False,mississippi,governor
28009,county,G,CST,67928,28628,0,0.0,5,25002,False,,MS,0,0.0,False,mississippi,governor
28009,county,G,Dem,27770,27160,0,0.0,5,25002,False,,MS,0,0.0,False,mississippi,governor
28009,county,G,GOP,64539,27165,0,0.0,5,25002,False,,MS,0,0.0,False,mississippi,governor
28009,county,G,Ind,67929,28638,0,0.0,5,25002,False,,MS,0,0.0,False,mississippi,governor
28011,county,G,CST,67928,28628,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28011,county,G,Dem,27770,27160,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28011,county,G,GOP,64539,27165,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28011,county,G,Ind,67929,28638,0,0.0,28,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,CST,67928,28628,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,Dem,27770,27160,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,GOP,64539,27165,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28013,county,G,Ind,67929,28638,0,0.0,10,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,CST,67928,28628,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,Dem,27770,27160,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,GOP,64539,27165,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28015,county,G,Ind,67929,28638,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28017,county,G,Dem,27770,27160,1,0.0667,15,25002,False,,MS,508,0.811502,False,mississippi,governor
28017,county,G,GOP,64539,27165,1,0.0667,15,25002,False,,MS,115,0.183706,False,mississippi,governor
28017,county,G,Ind,67929,28638,1,0.0667,15,25002,False,,MS,3,0.004792,False,mississippi,governor
28017,county,G,CST,67928,28628,1,0.0667,15,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,CST,67928,28628,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,Dem,27770,27160,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,GOP,64539,27165,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28019,county,G,Ind,67929,28638,0,0.0,13,25002,False,,MS,0,0.0,False,mississippi,governor
28021,county,G,CST,67928,28628,0,0.0,11,25002,False,,MS,0,0.0,False,mississippi,governor
28021,county,G,Dem,27770,27160,0,0.0,11,25002,False,,MS,0,0.0,False,mississippi,governor
28021,county,G,GOP,64539,27165,0,0.0,11,25002,False,,MS,0,0.0,False,mississippi,governor
28021,county,G,Ind,67929,28638,0,0.0,11,25002,False,,MS,0,0.0,False,mississippi,governor
28023,county,G,CST,67928,28628,0,0.0,23,25002,False,,MS,0,0.0,False,mississippi,governor
28023,county,G,Dem,27770,27160,0,0.0,23,25002,False,,MS,0,0.0,False,mississippi,governor
28023,county,G,GOP,64539,27165,0,0.0,23,25002,False,,MS,0,0.0,False,mississippi,governor
28023,county,G,Ind,67929,28638,0,0.0,23,25002,False,,MS,0,0.0,False,mississippi,governor
28025,county,G,CST,67928,28628,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28025,county,G,Dem,27770,27160,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28025,county,G,GOP,64539,27165,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28025,county,G,Ind,67929,28638,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
28027,county,G,CST,67928,28628,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28027,county,G,Dem,27770,27160,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28027,county,G,GOP,64539,27165,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28027,county,G,Ind,67929,28638,0,0.0,18,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,CST,67928,28628,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,Dem,27770,27160,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,GOP,64539,27165,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28029,county,G,Ind,67929,28638,0,0.0,19,25002,False,,MS,0,0.0,False,mississippi,governor
28031,county,G,GOP,64539,27165,1,0.0667,15,25002,False,,MS,163,0.724444,False,mississippi,governor
28031,county,G,Dem,27770,27160,1,0.0667,15,25002,False,,MS,58,0.257778,False,mississippi,governor
28031,county,G,Ind,67929,28638,1,0.0667,15,25002,False,,MS,3,0.013333,False,mississippi,governor
28031,county,G,CST,67928,28628,1,0.0667,15,25002,False,,MS,1,0.004444,False,mississippi,governor
28033,county,G,GOP,64539,27165,11,0.2683,41,25002,False,,MS,3009,0.540215,False,mississippi,governor
28033,county,G,Dem,27770,27160,11,0.2683,41,25002,False,,MS,2472,0.443806,False,mississippi,governor
28033,county,G,Ind,67929,28638,11,0.2683,41,25002,False,,MS,67,0.012029,False,mississippi,governor
28033,county,G,CST,67928,28628,11,0.2683,41,25002,False,,MS,22,0.00395,False,mississippi,governor
28035,county,G,CST,67928,28628,0,0.0,34,25002,False,,MS,0,0.0,False,mississippi,governor
28035,county,G,Dem,27770,27160,0,0.0,34,25002,False,,MS,0,0.0,False,mississippi,governor
28035,county,G,GOP,64539,27165,0,0.0,34,25002,False,,MS,0,0.0,False,mississippi,governor
28035,county,G,Ind,67929,28638,0,0.0,34,25002,False,,MS,0,0.0,False,mississippi,governor
28037,county,G,CST,67928,28628,0,0.0,14,25002,False,,MS,0,0.0,False,mississippi,governor
